TITLE,AUTHOR,PUB YEAR,LANGUAGE,STATUS
"Felix Holt, the Radical","ELIOT, George",1866,English,COMPLETED
The Limits of Critique,"FELSKI, Rita",2015,English,COMPLETED
Casino Royale,"FLEMING, Ian",1953,English,COMPLETED
The Good Soldier,"FORD, Ford Madox",1915,English,COMPLETED
A Passage to India,"FORSTER, E.M.",1924,English,COMPLETED
Maurice,"FORSTER, E.M.",1971,English,COMPLETED
The Great War and Modern Memory,"FUSSELL, Paul",1975,English,COMPLETED
In an Antique Land,"GHOSH, Amitav",1992,English,COMPLETED
Jude the Obscure,"HARDY, Thomas",1895,English,COMPLETED
Selected Poems,"HARDY, Thomas",1998,English,COMPLETED
Tess of the D'Urbervilles,"HARDY, Thomas",1891,English,COMPLETED
The Mayor of Casterbridge,"HARDY, Thomas",1886,English,COMPLETED
The Return of the Native,"HARDY, Thomas",1878,English,COMPLETED
Under the Greenwood Tree,"HARDY, Thomas",1872,English,COMPLETED
Red Dragon,"HARRIS, Thomas",1981,English,COMPLETED
The House of the Seven Gables,"HAWTHORNE, Nathaniel",1851,English,COMPLETED
Catch-22,"HELLER, Joseph",1961,English,COMPLETED
No One Left to Lie To,"HITCHENS, Christopher",1999,English,COMPLETED
The Iliad,"Homer", ca. 701-800 BC,English,COMPLETED
The Odyssey,"Homer", ca. 701-800 BC,English,COMPLETED
The Private Memoirs and Confessions of a Justified Sinner,"HOGG, James",1824,English,COMPLETED
The Remains of the Day,"ISHIGURO, Kazuo",1989,English,COMPLETED
What Maisie Knew,"JAMES, Henry",1897,English,COMPLETED
A Portrait of the Artist as a Young Man,"JOYCE, James",1916,English,COMPLETED
Ulysses,"JOYCE, James",1922,English,COMPLETED
The Death of Truth: Notes on Falsehood in the Age of Trump,"KAKUTANI, Michiko",2018,English,COMPLETED
On Writing,"KING, Stephen",2000,English,COMPLETED
Kim, "KIPLING, Rudyard",1901,English,COMPLETED
The Book of Laughter and Forgetting,"KUNDERA, Milan",1979,English,COMPLETED
Angels in America: A Gay Fantasia on National Themes -- Millennium Approaches,"KUSHNER, Tony",1991,English,COMPLETED
Angels in America: A Gay Fantasia on National Themes -- Perestroika,"KUSHNER, Tony",1992,English,COMPLETED
The Girl with the Dragon Tattoo,"LARSSON, Stieg",2005,English,COMPLETED
Male Colors: The Construction of Homosexuality in Tokugawa Japan,"LEUPP, Gary P.",1997,English,COMPLETED
The Monk,"LEWIS, Matthew",1796,English,COMPLETED
The Song of Hiawatha,"LONGFELLOW, Henry Wadsworth",1855,English,COMPLETED
After Alice,"MAGUIRE, Gregory",2015,English,COMPLETED
Son of a Witch,"MAGUIRE, Gregory",2005,English,COMPLETED
Wicked: The Life and Times of the Wicked Witch of the West,"MAGUIRE, Gregory",1995,English,COMPLETED
Wolf Hall,"MANTEL, Hilary",2009,English,COMPLETED
Chronicle of a Death Foretold,"MARQUEZ, Gabriel Garcia",1981,English,COMPLETED
Atonement,"McEWAN, Ian",2001,English,COMPLETED
Moby-Dick,"MELVILLE, Herman",1851,English,COMPLETED
Rainbow Milk,"MENDEZ, Paul",2020,English,COMPLETED
Batman: Resurrection,"MILLER, John Jackson",2024,English,COMPLETED
The Song of Achilles,"MILLER, Madeline",2011,English,COMPLETED
Paradise Lost,"MILTON, John",1667,English,COMPLETED
The Sailor Who Fell From Grace with the Sea,"MISHIMA, Yukio",1963,English,COMPLETED
James Baldwin: Living in Fire,"MULLEN, Bill V.",2019,English,COMPLETED
1Q84,"MURAKAMI, Haruki",2009,English,COMPLETED
A Wild Sheep Chase,"MURAKAMI, Haruki",1982,English,COMPLETED
After Dark,"MURAKAMI, Haruki",2004,English,COMPLETED
after the quake,"MURAKAMI, Haruki",2000,English,COMPLETED
Dance Dance Dance,"MURAKAMI, Haruki",1988,English,COMPLETED
Hard-Boiled Wonderland and the End of the World,"MURAKAMI, Haruki",1985,English,COMPLETED
Kafka on the Shore,"MURAKAMI, Haruki",2002,English,COMPLETED
Norwegian Wood,"MURAKAMI, Haruki",1987,English,COMPLETED
The Elephant Vanishes,"MURAKAMI, Haruki",2005,English,COMPLETED
The Wind-Up Bird Chronicle,"MURAKAMI, Haruki",1994,English,COMPLETED
Underground: The Tokyo Gas Attack and the Japanese Psyche,"MURAKAMI, Haruki",2000,English,COMPLETED
Why Grow Up?,"NEIMAN, Susan",2014,English,COMPLETED
Poetic Justice: The Literary Imagination and Public Life,"NUSSBAUM, Martha",1995,English,COMPLETED
"At Swim, Two Boys","O'NEILL, Jamie",2001,English,COMPLETED
Homage to Catalonia,"ORWELL, George",1938,English,COMPLETED
Moths,Ouida,1880,English,COMPLETED
The Narrative of Arthur Gordon Pym of Nantucket,"POE, Edgar Allen",1838,English,COMPLETED
Northern Lights,"PULLMAN, Philip",1995,English,COMPLETED
Gravity's Rainbow,"PYNCHON, Thomas",1973,English,COMPLETED
Harry Potter and the Chamber of Secrets,"ROWLING, J.K.",1998,English,COMPLETED
Harry Potter and the Deathly Hallows,"ROWLING, J.K.",2007,English,COMPLETED
Harry Potter and the Goblet of Fire,"ROWLING, J.K.",2000,English,COMPLETED
Harry Potter and the Half-Blood Prince,"ROWLING, J.K.",2005,English,COMPLETED
Harry Potter and the Order of the Phoenix,"ROWLING, J.K.",2003,English,COMPLETED
Harry Potter and the Philosopher's Stone,"ROWLING, J.K.",1997,English,COMPLETED
Harry Potter and the Prisoner of Azkaban,"ROWLING, J.K.",1999,English,COMPLETED
Joseph Anton: A Memoir,"RUSHDIE, Salman",2012,English,COMPLETED
Midnight's Children,"RUSHDIE, Salman",1981,English,COMPLETED
The Satanic Verses,"RUSHDIE, Salman",1988,English,COMPLETED
"Oscar Wars: A History of Hollywood in Gold, Sweat, & Tears","SCHULMAN, Michael",2023,English,COMPLETED
The Rings of Saturn,"SEBALD, W.G.",1995,English,COMPLETED
A Midsummer Night's Dream,"SHAKESPEARE, William",1595,English,COMPLETED
Antony and Cleopatra,"SHAKESPEARE, William",1606,English,COMPLETED
Hamlet,"SHAKESPEARE, William",1600,English,COMPLETED
"Henry IV, Part I","SHAKESPEARE, William",1597,English,COMPLETED
"Henry IV, Part II","SHAKESPEARE, William",1597,English,COMPLETED
Henry V,"SHAKESPEARE, William",1598,English,COMPLETED
"Henry VI, Part I","SHAKESPEARE, William",1591,English,COMPLETED
"Henry VI, Part II","SHAKESPEARE, William",1590,English,COMPLETED
"Henry VI, Part III","SHAKESPEARE, William",1590,English,COMPLETED
Julius Caesar,"SHAKESPEARE, William",1599,English,COMPLETED
Love's Labor's Lost,"SHAKESPEARE, William",1594,English,COMPLETED
Macbeth,"SHAKESPEARE, William",1605,English,COMPLETED
Much Ado About Nothing,"SHAKESPEARE, William",1598,English,COMPLETED
Richard II,"SHAKESPEARE, William",1595,English,COMPLETED
Romeo and Juliet,"SHAKESPEARE, William",1594,English,COMPLETED
The Merchant of Venice,"SHAKESPEARE, William",1596,English,COMPLETED
The Merry Wives of Windsor,"SHAKESPEARE, William",1600,English,COMPLETED
The Tempest,"SHAKESPEARE, William",1611,English,COMPLETED
The Winter's Tale,"SHAKESPEARE, William",1610,English,COMPLETED
Troilus and Cressida,"SHAKESPEARE, William",1601,English,COMPLETED
Wigwam and the Cabin: Selected Fiction,"SIMMS, William Gilmore",1845,English,COMPLETED
East of Eden,"STEINBECK, John",1952,English,COMPLETED
Dracula,"STOKER, Bram",1897,English,COMPLETED
Uncle Tom's Cabin,"STOWE, Harriet Beecher",1852,English,COMPLETED
"Madly, Deeply: The Diaries of Alan Rickman","TAYLOR, Alan ed.",2022,English,COMPLETED
The Hobbit,"TOLKIEN, J.R.R.",1937,English,COMPLETED
The Lord of the Rings: The Fellowship of the Ring,"TOLKIEN, J.R.R.",1954,English,COMPLETED
The Lord of the Rings: The Return of the King,"TOLKIEN, J.R.R.",1955,English,COMPLETED
The Lord of the Rings: The Two Towers,"TOLKIEN, J.R.R.",1954,English,COMPLETED
The Silmarillion,"TOLKIEN, J.R.R.",1977,English,COMPLETED
Tolkien on Fairy-Stories,"TOLKIEN, J.R.R.",2014,English,COMPLETED
Anna Karenina,"TOLSTOY, Leo",1878,English,COMPLETED
When Do The Good Things Start?,"TWERSKI, Abraham J.",1995,English,COMPLETED
I Told You So: Gore Vidal Talks Politics - Interviews with Jon Wiener,"VIDAL, Gore",2013,English,COMPLETED
Candide,Voltaire,1759,English,COMPLETED
Timequake,"VONNEGUT, Kurt",1997,English,COMPLETED
A Supposedly Fun Thing I'll Never Do Again,"WALLACE, David Foster",1997,English,COMPLETED
Brief Interviews with Hideous Men,"WALLACE, David Foster",1999,English,COMPLETED
Girl with Curious Hair,"WALLACE, David Foster",1989,English,COMPLETED
Infinite Jest,"WALLACE, David Foster",1996,English,COMPLETED
The Broom of the System,"WALLACE, David Foster",1987,English,COMPLETED
The Pale King,"WALLACE, David Foster",2011,English,COMPLETED
Salome,"WILDE, Oscar",1896,English,COMPLETED
The Picture of Dorian Gray,"WILDE, Oscar",1890,English,COMPLETED
East Lynne,"WOOD, Ellen",1861,English,COMPLETED
Mrs. Dalloway,"WOOLF, Virginia",1925,English,COMPLETED
The Waves,"WOOLF, Virginia",1931,English,COMPLETED
The Collected Poems of W.B. Yeats,"YEATS, W.B.",1996,English,COMPLETED
Kaze no uta o kike,"MURAKAMI, Haruki",1979,Japanese,COMPLETED
Boku no kareshi wa doko ni iru?,"ISHIKAWA, Taiga",2009,Japanese,COMPLETED
